ADM,CLOT,DOM,EDUC,ELEC,EXP,FDAW,FDHO,FOOT,FURN,GASO,HEAL,HHTENURE,HOUS,ID,LIFE,LOCT,MAPP,PERS,READ,REFAGE,REFEDUC,REFMS,REFRACE,REFSEX,REGION,SAPP,SIZE,SIZEAF,SIZEAM,SIZEIN,SIZEJF,SIZEJM,TELE,TEXT,TOB,TOYS,TRIP,URBAN
995,1927,228,1212,1128,35715.45,1173,2157,128,257,722,5273.7,2,7641.75,2511695,388,0,0,342,328,64,16,1,1,2,3,69,2,1,1,0,0,0,630,0,0,335,1601,1
1410,1253,0,4500,678,34476,2760,3900,103,0,1200,5245,1,4440,2521395,420,0,0,110,40,50,12,1,1,2,2,180,5,1,3,0,0,1,1239,38,0,0,0,1
1493.333,507,0,0,217,20695.33,636.6667,1521.667,194,0,1400,5201,2,2115,2630892,40,0,0,33.3333,66.6667,59,15,1,6,2,3,0,3,2,1,0,0,0,120,0,0,60,0,1
284,125,113.6,0,713,18958.7,195,2470,40,0,1500,5071.7,1,2697,2521465,0,0,0,35,10,58,12,1,1,1,4,0,3,1,2,0,0,0,783,0,650,775,0,2
730,437,0,0,176,17769.75,825,1002,149,0,516,5066,2,4545,2516815,0,0,0,42,121,62,15,1,1,1,2,87,2,1,1,0,0,0,300,0,0,6,2125,1
300,0,470,0,420,26595.8,2925,2925,0,0,3900,5045.4,2,2248,2588243,740,0,600,420,75,77,16,1,1,1,4,0,3,1,2,0,0,0,345,0,546,0,0,1
9,0,180,0,108,13523.4,930,1124,0,0,515,5028.4,1,3420,2555994,0,0,0,195,0,72,13,1,1,1,4,0,2,1,1,0,0,0,219,0,0,0,0,1
200,1281.667,0,0,500,17901.77,458.3333,866.6667,225,0,520,5000,1,2479.667,2629252,0,0,0,0,0,36,14,1,1,2,2,0,2,1,1,0,0,0,300,0,0,100,0,1
0,20,485,0,118,9040.45,195,585,0,0,120,4997.7,2,1014.75,2580883,0,0,0,235,0,87,12,2,1,2,1,0,1,1,0,0,0,0,60,0,0,0,0,1
150,192,13,0,252,22378.7,2450,1305,281,0,90,4911.7,2,5598,2548574,0,0,0,130,460,64,16,1,1,1,,0,2,1,1,0,0,0,333,0,0,0,3833,1
